generated_tokens,gamma,delta,green_fraction,z_score,p_value,prediction
155,0.1,5.0,0.896774193548387,33.06586237315287,0.0,True
160,0.1,5.0,0.9,33.730961708462715,0.0,True
5,0.1,5.0,1.0,6.708203932499369,9.851675031313789e-12,True
10,0.1,5.0,0.9,8.432740427115679,0.0,True
15,0.1,5.0,0.9333333333333333,10.75828707279838,0.0,True
20,0.1,5.0,0.9,11.925695879998878,0.0,True
25,0.1,5.0,0.84,12.333333333333334,0.0,True
30,0.1,5.0,0.8333333333333334,13.38877362790406,0.0,True
35,0.1,5.0,0.8571428571428571,14.931058500203791,0.0,True
40,0.1,5.0,0.875,16.338434577536628,0.0,True
45,0.1,5.0,0.8888888888888888,17.64009182249834,0.0,True
50,0.1,5.0,0.9,18.856180831641268,0.0,True
55,0.1,5.0,0.9090909090909091,20.001262586409513,0.0,True
60,0.1,5.0,0.9166666666666666,21.086242662684825,0.0,True
65,0.1,5.0,0.9076923076923077,21.706078553111478,0.0,True
70,0.1,5.0,0.9,22.31093404090868,0.0,True
75,0.1,5.0,0.9066666666666666,23.286460857314903,0.0,True
80,0.1,5.0,0.9125,24.224069756247722,0.0,True
5,0.1,5.0,0.8,5.217491947499509,9.068105288889683e-08,True
10,0.1,5.0,0.8,7.378647873726218,7.993605777301127e-14,True
15,0.1,5.0,0.7333333333333333,8.17629817532677,2.220446049250313e-16,True
20,0.1,5.0,0.8,10.434983894999018,0.0,True
25,0.1,5.0,0.8,11.666666666666666,0.0,True
30,0.1,5.0,0.8,12.780193008453875,0.0,True
35,0.1,5.0,0.7714285714285715,13.240749990746759,0.0,True
40,0.1,5.0,0.8,14.757295747452437,0.0,True
45,0.1,5.0,0.8,15.652475842498529,0.0,True
50,0.1,5.0,0.78,16.02775370689508,0.0,True
55,0.1,5.0,0.8,17.304463136556546,0.0,True
60,0.1,5.0,0.8166666666666667,18.504253765213214,0.0,True
65,0.1,5.0,0.8307692307692308,19.63883297662467,0.0,True
70,0.1,5.0,0.8142857142857143,19.920476822239895,0.0,True
75,0.1,5.0,0.8133333333333334,20.59215960109665,0.0,True
80,0.1,5.0,0.7875,20.49728979374807,0.0,True
85,0.1,5.0,0.7764705882352941,20.78916887428788,0.0,True
90,0.1,5.0,0.7444444444444445,20.379122698862886,0.0,True
95,0.1,5.0,0.7578947368421053,21.374549001774046,0.0,True
100,0.1,5.0,0.77,22.333333333333332,0.0,True
105,0.1,5.0,0.780952380952381,23.258951738606708,0.0,True
110,0.1,5.0,0.7909090909090909,24.15438559422167,0.0,True
115,0.1,5.0,0.7913043478260869,24.711377418368315,0.0,True
120,0.1,5.0,0.7833333333333333,24.951805397457566,0.0,True
125,0.1,5.0,0.784,25.4911749434976,0.0,True
130,0.1,5.0,0.7923076923076923,26.311740579210877,0.0,True
135,0.1,5.0,0.7925925925925926,26.823995768177294,0.0,True
140,0.1,5.0,0.7928571428571428,27.326654236222033,0.0,True
145,0.1,5.0,0.8,28.09705401718202,0.0,True
150,0.1,5.0,0.8066666666666666,28.84954585944632,0.0,True
155,0.1,5.0,0.8129032258064516,29.585245281242038,0.0,True
160,0.1,5.0,0.8125,30.041637771599603,0.0,True
165,0.1,5.0,0.8181818181818182,30.75070829438016,0.0,True
170,0.1,5.0,0.8235294117647058,31.445564542742186,0.0,True
175,0.1,5.0,0.8228571428571428,31.875003890444827,0.0,True
180,0.1,5.0,0.8277777777777777,32.54721167249694,0.0,True
185,0.1,5.0,0.827027027027027,32.96212222387238,0.0,True
190,0.1,5.0,0.8315789473684211,33.61373292176387,0.0,True
195,0.1,5.0,0.8307692307692308,34.015456516873066,0.0,True
200,0.1,5.0,0.835,34.64823227814083,0.0,True
205,0.1,5.0,0.8341463414634146,35.037919837773835,0.0,True
210,0.1,5.0,0.8380952380952381,35.6533872326883,0.0,True
5,0.25,5.0,1.0,3.8729833462074166,5.3755588364734486e-05,False
10,0.25,5.0,0.9,4.74692883171144,1.0326428980800273e-06,True
